Nilai;Kurs Jual;Tanggal
1;17177.0;04/01/2021
1;17150.6;3/31/2021
1;17133.73;3/30/2021
1;17102.77;3/29/2021
1;17105.38;3/26/2021
1;17189.2;3/25/2021
1;17204.66;3/24/2021
1;17284.48;3/23/2021
1;17272.67;3/22/2021
1;17325.67;3/19/2021
1;17337.42;3/18/2021
1;17295.15;3/17/2021
1;17290.97;3/16/2021
1;17315.66;3/15/2021
1;17295.32;03/12/2021
1;17222.16;03/11/2021
1;17222.16;03/10/2021
1;17236.12;03/09/2021
1;17235.75;03/08/2021
1;17266.44;03/05/2021
1;17322.2;03/04/2021
1;17412.13;03/03/2021
1;17304.57;03/02/2021
1;17366.52;03/01/2021
1;17421.87;2/26/2021
1;17241.89;2/25/2021
1;17220.72;2/24/2021
1;17284.4;2/23/2021
1;17172.21;2/22/2021
1;17106.84;2/19/2021
1;17018.74;2/18/2021
1;17039.36;2/17/2021
1;16935.45;2/16/2021
1;17003.88;2/15/2021
1;17064.84;02/12/2021
1;17064.84;02/11/2021
1;17038.04;02/10/2021
1;16995.15;02/09/2021
1;16931.84;02/08/2021
1;16907.9;02/05/2021
1;16976.79;02/04/2021
1;16973.53;02/03/2021
1;17057.03;02/02/2021
1;17118.11;02/01/2021
1;17136.76;1/29/2021
1;17168.0;1/28/2021
1;17216.09;1/27/2021
1;17191.57;1/26/2021
1;17222.07;1/25/2021
1;17196.3;1/22/2021
1;17110.23;1/21/2021
1;17171.6;1/20/2021
1;17126.45;1/19/2021
1;17095.1;1/18/2021
1;17176.67;1/15/2021
1;17226.17;1/14/2021
1;17324.57;1/13/2021
1;17369.97;01/12/2021
1;17324.15;01/11/2021
1;17318.46;01/08/2021
1;17260.28;01/07/2021
1;17196.43;01/06/2021
1;17191.87;01/05/2021
1;17126.12;01/04/2021
1;17418.89;12/31/2020
1;17418.89;12/30/2020
1;17426.73;12/29/2020
1;17408.11;12/28/2020
1;17472.41;12/25/2020
1;17472.41;12/24/2020
1;17472.41;12/23/2020
1;17485.56;12/22/2020
1;17387.52;12/21/2020
1;17424.02;12/18/2020
1;17364.57;12/17/2020
1;17286.55;12/16/2020
1;17316.68;12/15/2020
1;17265.21;12/14/2020
1;17226.69;12/11/2020
1;17167.17;12/10/2020
1;17236.94;12/09/2020
1;17236.94;12/08/2020
1;17244.27;12/07/2020
1;17308.73;12/04/2020
1;17262.74;12/03/2020
1;17191.39;12/02/2020
1;17034.55;12/01/2020
1;17000.03;11/30/2020
1;16938.04;11/27/2020
1;16932.86;11/26/2020
1;16949.69;11/25/2020
1;16899.24;11/24/2020
1;16903.85;11/23/2020
1;16977.37;11/20/2020
1;16866.15;11/19/2020
1;16826.25;11/18/2020
1;16779.69;11/17/2020
1;16837.07;11/16/2020
1;16870.16;11/13/2020
1;16797.28;11/12/2020
1;16733.75;11/11/2020
1;16672.51;11/10/2020
1;16939.03;11/09/2020
1;17013.5;11/06/2020
1;17008.58;11/05/2020
1;17027.61;11/04/2020
1;17103.12;11/03/2020
1;17221.85;11/02/2020
1;17459.26;10/30/2020
1;17459.26;10/29/2020
1;17459.26;10/28/2020
1;17459.26;10/27/2020
1;17494.17;10/26/2020
1;17485.2;10/23/2020
1;17495.65;10/22/2020
1;17444.79;10/21/2020
1;17422.72;10/20/2020
1;17355.43;10/19/2020
1;17370.02;10/16/2020
1;17431.2;10/15/2020
1;17442.93;10/14/2020
1;17534.1;10/13/2020
1;17510.99;10/12/2020
1;17438.11;10/09/2020
1;17438.66;10/08/2020
1;17434.28;10/07/2020
1;17433.65;10/06/2020
1;17532.17;10/05/2020
1;17560.78;10/02/2020
1;17550.25;10/01/2020
1;17617.79;9/30/2020
1;17500.2;9/29/2020
1;17494.83;9/28/2020
1;17536.56;9/25/2020
1;17522.2;9/24/2020
1;17418.39;9/23/2020
1;17475.01;9/22/2020
1;17553.23;9/21/2020
1;17586.1;9/18/2020
1;17595.97;9/17/2020
1;17673.62;9/16/2020
1;17756.88;9/15/2020
1;17834.42;9/14/2020
1;17820.81;09/11/2020
1;17665.42;09/10/2020
1;17579.85;09/09/2020
1;17557.87;09/08/2020
1;17547.18;09/07/2020
1;17622.11;09/04/2020
1;17623.3;09/03/2020
1;17715.26;09/02/2020
1;17621.29;09/01/2020
1;17421.95;8/31/2020
1;17483.86;8/28/2020
1;17495.17;8/27/2020
1;17393.61;8/26/2020
1;17356.5;8/25/2020
1;17551.64;8/24/2020
1;17736.81;8/19/2020
1;17819.04;8/18/2020
1;17708.07;8/14/2020
1;17659.09;8/13/2020
1;17415.64;08/12/2020
1;17388.97;08/11/2020
1;17492.03;08/10/2020
1;17442.01;08/07/2020
1;17401.35;08/06/2020
1;17363.47;08/05/2020
1;17383.39;08/04/2020
1;17403.79;08/03/2020
1;17341.66;7/30/2020
1;17168.74;7/29/2020
1;17189.55;7/28/2020
1;17163.02;7/27/2020
1;17056.09;7/24/2020
1;17062.8;7/23/2020
1;16997.91;7/22/2020
1;17062.07;7/21/2020
1;17021.34;7/20/2020
1;16914.14;7/17/2020
1;16769.76;7/16/2020
1;16760.24;7/15/2020
1;16538.89;7/14/2020
1;16488.88;7/13/2020
1;16425.8;07/10/2020
1;16469.48;07/09/2020
1;16386.62;07/08/2020
1;16440.2;07/07/2020
1;16477.91;07/06/2020
1;16462.83;07/03/2020
1;16426.74;07/02/2020
1;16205.65;07/01/2020
1;16161.57;6/30/2020
1;16232.96;6/29/2020
1;16056.04;6/26/2020
1;16085.64;6/25/2020
1;16113.53;6/24/2020
1;16152.74;6/23/2020
1;15986.52;6/22/2020
1;16040.81;6/19/2020
1;16021.94;6/18/2020
1;16109.05;6/17/2020
1;16141.99;6/16/2020
1;16100.83;6/15/2020
1;16182.37;06/12/2020
1;16040.35;06/11/2020
1;16054.22;06/10/2020
1;15847.38;06/09/2020
1;15844.92;06/08/2020
1;16050.93;06/05/2020
1;15974.02;06/04/2020
1;16015.57;06/03/2020
1;16209.77;06/02/2020
1;16417.64;5/29/2020
1;16359.79;5/28/2020
1;16263.4;5/27/2020
1;16200.51;5/26/2020
1;16255.67;5/20/2020
1;16255.74;5/19/2020
1;16195.08;5/18/2020
1;16183.73;5/15/2020
1;16243.42;5/14/2020
1;16236.15;5/13/2020
1;16252.61;05/12/2020
1;16283.59;05/11/2020
1;16366.19;05/08/2020
1;16481.18;05/06/2020
1;16565.41;05/05/2020
1;16587.47;05/04/2020
1;16555.0;4/30/2020
1;16815.1;4/29/2020
1;16854.26;4/28/2020
1;16960.08;4/27/2020
1;16834.34;4/24/2020
1;16983.65;4/23/2020
1;16982.47;4/22/2020
1;17027.65;4/21/2020
1;16979.72;4/20/2020
1;16929.79;4/17/2020
1;17271.66;4/16/2020
1;17340.42;4/15/2020
1;17292.19;4/14/2020
1;17398.09;4/13/2020
1;17727.55;04/09/2020
1;17749.88;04/08/2020
1;17826.26;04/07/2020
1;17996.5;04/06/2020
1;17964.34;04/03/2020
1;18416.33;04/02/2020
1;18164.37;04/01/2020
1;18138.14;3/31/2020
1;18217.06;3/30/2020
1;18010.77;3/27/2020
1;17889.79;3/26/2020
1;17908.82;3/24/2020
1;17889.46;3/23/2020
1;17582.58;3/20/2020
1;17244.87;3/19/2020
1;16845.86;3/18/2020
1;16954.69;3/17/2020
1;16536.18;3/16/2020
1;16654.92;3/13/2020
1;16484.69;03/12/2020
1;16296.15;03/11/2020
1;16515.03;03/10/2020
1;16482.08;03/09/2020
1;16117.73;03/06/2020
1;15863.49;03/05/2020
1;15911.01;03/04/2020
1;15931.1;03/03/2020
1;16019.04;03/02/2020
1;15719.95;2/28/2020
1;15368.7;2/27/2020
1;15258.35;2/26/2020
1;15164.64;2/25/2020
1;15085.92;2/24/2020
1;14942.48;2/21/2020
1;14909.35;2/20/2020
1;14889.82;2/19/2020
1;14879.67;2/18/2020
1;14917.43;2/17/2020
1;14929.93;2/14/2020
1;14948.92;2/13/2020
1;14987.47;02/12/2020
1;15014.34;02/11/2020
1;15089.44;02/10/2020
1;15064.82;02/07/2020
1;15100.59;02/06/2020
1;15215.16;02/05/2020
1;15291.89;02/04/2020
1;15288.59;02/03/2020
1;15145.9;1/31/2020
1;15110.12;1/30/2020
1;15094.31;1/29/2020
1;15112.82;1/28/2020
1;15091.84;1/27/2020
1;15144.16;1/24/2020
1;15186.79;1/23/2020
1;15231.0;1/22/2020
1;15226.57;1/21/2020
1;15227.6;1/20/2020
1;15282.63;1/17/2020
1;15307.56;1/16/2020
1;15332.43;1/15/2020
1;15286.61;1/14/2020
1;15320.89;1/13/2020
1;15414.92;01/10/2020
1;15486.6;01/09/2020
1;15621.09;01/08/2020
1;15658.84;01/07/2020
1;15666.8;01/06/2020
1;15615.39;01/03/2020
1;15672.34;01/02/2020
